us_city,full_us_state,us_state,population,density,"City,State",airport
Cape Coral,Florida,FL,154305,1460.2,"Cape Coral,FL",KFMY
Peoria,Arizona,AZ,154065,883.4,"Peoria,AZ",KGEU
Sioux Falls,South Dakota,SD,153888,2109.1,"Sioux Falls,SD",KFSD
Springfield,Massachusetts,MA,153060,4803.4,"Springfield,MA",KCEF
Elk Grove,California,CA,153015,3626.8,"Elk Grove,CA",KSAC
Rockford,Illinois,IL,152871,2502.7,"Rockford,IL",KRFD
Palmdale,California,CA,152750,1441.6,"Palmdale,CA",KPMD
Corona,California,CA,152374,3924.6,"Corona,CA",KAJO
Salinas,California,CA,150441,6490.5,"Salinas,CA",KSNS
Pomona,California,CA,149058,6494.5,"Pomona,CA",KPOC
Pasadena,Texas,TX,149043,3485.4,"Pasadena,TX",KHOU
Joliet,Illinois,IL,147433,2373.6,"Joliet,IL",KJOT
Paterson,New Jersey,NJ,146199,17346.3,"Paterson,NJ",KCDW
Kansas City,Kansas,KS,145786,1168.1,"Kansas City,KS",KNKA
Torrance,California,CA,145438,7102.2,"Torrance,CA",KTOA
Syracuse,New York,NY,145170,5796.7,"Syracuse,NY",KSYR
Bridgeport,Connecticut,CT,144229,9029,"Bridgeport,CT",KBDR
Hayward,California,CA,144186,3181.3,"Hayward,CA",KHWD
Fort Collins,Colorado,CO,143986,2652.8,"Fort Collins,CO",KFNL
Escondido,California,CA,143911,3909.3,"Escondido,CA",KRNM
Lakewood,Colorado,CO,142980,3334.4,"Lakewood,CO",KBJC
Naperville,Illinois,IL,141853,3658.9,"Naperville,IL",KLOT
Dayton,Ohio,OH,141527,2543.1,"Dayton,OH",KFFO
Hollywood,Florida,FL,140768,5143.8,"Hollywood,FL",KFLL
Sunnyvale,California,CA,140081,6370.9,"Sunnyvale,CA",KNUQ
Alexandria,Virginia,VA,139966,9314.3,"Alexandria,VA",KDCA
Mesquite,Texas,TX,139824,3038.3,"Mesquite,TX",KHQZ
Hampton,Virginia,VA,137436,2673.2,"Hampton,VA",KLFI
Pasadena,California,CA,137122,5969.6,"Pasadena,CA",KMWS
Orange,California,CA,136416,5501.3,"Orange,CA",KSNA
Savannah,Georgia,GA,136286,1321.2,"Savannah,GA",KSVN
Cary,North Carolina,NC,135234,2488.4,"Cary,NC",KRDU
Fullerton,California,CA,135161,6046.7,"Fullerton,CA",KFUL
Warren,Michigan,MI,134056,3899.2,"Warren,MI",KDET
Clarksville,Tennessee,TN,132929,1361.9,"Clarksville,TN",KCKV
McKinney,Texas,TX,131117,2107.7,"McKinney,TX",KTKI
McAllen,Texas,TX,129877,2686.5,"McAllen,TX",KMFE
New Haven,Connecticut,CT,129779,6948,"New Haven,CT",KHVN
Sterling Heights,Michigan,MI,129699,3552.9,"Sterling Heights,MI",KVLL
West Valley City,Utah,UT,129480,3641.5,"West Valley City,UT",KU42
Columbia,South Carolina,SC,129272,977.8,"Columbia,SC",KCUB
Killeen,Texas,TX,127921,2387.5,"Killeen,TX",KHLR
Topeka,Kansas,KS,127473,2118.6,"Topeka,KS",KTOP
Thousand Oaks,California,CA,126683,2302,"Thousand Oaks,CA",KCMA
Cedar Rapids,Iowa,IA,126326,1784.3,"Cedar Rapids,IA",KCID
Olathe,Kansas,KS,125872,2109.8,"Olathe,KS",KOJC
Elizabeth,New Jersey,NJ,124969,10144.1,"Elizabeth,NJ",KEWR
Waco,Texas,TX,124805,1402.9,"Waco,TX",KACT
Hartford,Connecticut,CT,124775,7178.9,"Hartford,CT",KHFD
Visalia,California,CA,124442,3433.3,"Visalia,CA",KVIS
Gainesville,Florida,FL,124354,2028.5,"Gainesville,FL",KGNV
Simi Valley,California,CA,124237,2995.1,"Simi Valley,CA",K3A6
Stamford,Connecticut,CT,122643,3258.4,"Stamford,CT",KHPN
Bellevue,Washington,WA,122363,3827.7,"Bellevue,WA",KBFI
Concord,California,CA,122067,3996.2,"Concord,CA",KCCR
Miramar,Florida,FL,122041,4134.1,"Miramar,FL",KHWO
Coral Springs,Florida,FL,121096,5089.8,"Coral Springs,FL",KFXE
Lafayette,Louisiana,LA,120623,2450.1,"Lafayette,LA",KLFT
Charleston,South Carolina,SC,120083,1101.9,"Charleston,SC",KJZI
Carrollton,Texas,TX,119097,3281.3,"Carrollton,TX",KADS
Roseville,California,CA,118788,3279.5,"Roseville,CA",KMCC
Thornton,Colorado,CO,118772,3408.8,"Thornton,CO",KEIK
Beaumont,Texas,TX,118296,1428.7,"Beaumont,TX",KBMT
Allentown,Pennsylvania,PA,118032,6727.1,"Allentown,PA",KXLL
Surprise,Arizona,AZ,117517,1111.3,"Surprise,AZ",KLUF
Evansville,Indiana,IN,117429,2659.6,"Evansville,IN",KEVV
Abilene,Texas,TX,117063,1096.2,"Abilene,TX",KABI
Frisco,Texas,TX,116989,1892.9,"Frisco,TX",KADS
Independence,Missouri,MO,116830,1506.2,"Independence,MO",KMKC
Santa Clara,California,CA,116468,6327.3,"Santa Clara,CA",KSJC
Springfield,Illinois,IL,116250,1954.5,"Springfield,IL",KSPI
Vallejo,California,CA,115942,3780.1,"Vallejo,CA",KAPC
Victorville,California,CA,115903,1583.9,"Victorville,CA",KVCV
Athens,Georgia,GA,115452,992.2,"Athens,GA",KAHN
Peoria,Illinois,IL,115007,2395.6,"Peoria,IL",KPIA
Ann Arbor,Michigan,MI,113934,4094,"Ann Arbor,MI",KARB
El Monte,California,CA,113475,11866.9,"El Monte,CA",KEMT
Denton,Texas,TX,113383,1289.2,"Denton,TX",KDTO
Berkeley,California,CA,112580,10752.4,"Berkeley,CA",KOAK
Provo,Utah,UT,112488,2699.3,"Provo,UT",KPVU
Downey,California,CA,111772,9008,"Downey,CA",KLGB
Midland,Texas,TX,111147,1542.2,"Midland,TX",KMDD
Norman,Oklahoma,OK,110925,620.5,"Norman,OK",KOUN
Waterbury,Connecticut,CT,110366,3869.9,"Waterbury,CT",KOXC
Costa Mesa,California,CA,109960,7024.6,"Costa Mesa,CA",KSNA
Inglewood,California,CA,109673,12094.7,"Inglewood,CA",KLAX
Manchester,New Hampshire,NH,109565,3310.1,"Manchester,NH",KMHT
Lansing,Michigan,MI,109563,3303.2,"Lansing,MI",KLAN
